scholarship_id,university_id,name,level,eligibility,award_type,award_value,currency,deadline,requirements,description,url
S_IRL001_01,IRL001,Global Excellence Undergraduate Scholarship,UG,International (Non-EU) fee status,Tuition Reduction,5000,EUR,2026-04-01,Academic excellence; 200-word personal statement; Trinity offer holder.,Awarded to high-achieving non-EU students to acknowledge academic achievement.,www.tcd.ie
S_IRL001_02,IRL001,Global Excellence Postgraduate Scholarship,PG,International (Non-EU) fee status,Tuition Reduction,2000.00-5000.00,EUR,2026-06-15,Academic excellence; 2.1 honors degree equivalent; 200-word statement.,One-year tuition reduction for international postgraduate students based on academic merit.,www.tcd.ie
S_IRL001_03,IRL001,E3 Balanced Solutions Scholarship,UG,Non-EU status in STEM (E3 Schools),Tuition Reduction,2000.00-5000.00,EUR,2026-05-01,Admission to Engineering/Science/Math; sustainability-focused statement.,Focused on students contributing to 'Balanced Solutions for a Better World' in STEM.,www.tcd.ie
S_IRL001_03,IRL001,E3 Balanced Solutions Scholarship,PG,Non-EU status in STEM (E3 Schools),Tuition Reduction,2000.00-5000.00,EUR,2026-05-01,Admission to Engineering/Science/Math; sustainability-focused statement.,Focused on students contributing to 'Balanced Solutions for a Better World' in STEM.,www.tcd.ie
S_IRL002_01,IRL002,Global Excellence Scholarship,UG,International (Non-EU) fee status,Tuition Waiver,50% or 100%,EUR,2026-02-01,High GPA (typically 3.6+); offer from UCD; separate scholarship application.,UCD's most prestigious merit-based award for non-EU students based on a holistic review.,www.ucd.ie
S_IRL002_01,IRL002,Global Excellence Scholarship,PG,International (Non-EU) fee status,Tuition Waiver,50% or 100%,EUR,2026-02-01,High GPA (typically 3.6+); offer from UCD; separate scholarship application.,UCD's most prestigious merit-based award for non-EU students based on a holistic review.,www.ucd.ie
S_IRL002_02,IRL002,Smurfit MSc Merit Scholarship,PG,International Smurfit Business School applicants,Tuition Reduction,50%,EUR,2026-03-31,GMAT 630+ or GRE equivalent; 1st class honors; admission to Smurfit MSc.,Merit-based award specifically for high-achieving Michael Smurfit Business School students.,www.smurfitschool.ie
S_IRL002_03,IRL002,UCD International Student Scholarship (ISS),UG,Non-EU fee status,Tuition Reduction,2000.00-4000.00,EUR,2026-07-01,Automatic assessment; based on prior academic performance.,Automatic partial tuition fee reduction awarded at the point of admission for eligible regions.,www.ucd.ie
S_IRL002_03,IRL002,UCD International Student Scholarship (ISS),PG,Non-EU fee status,Tuition Reduction,2000.00-4000.00,EUR,2026-07-01,Automatic assessment; based on prior academic performance.,Automatic partial tuition fee reduction awarded at the point of admission for eligible regions.,www.ucd.ie
S_IRL003_01,IRL003,ICD International Student Bursary,UG,All Non-EU students,Tuition Reduction,1000.00-2000.00,EUR,2026-08-31,Full payment of remaining fees; valid offer for ICD Dublin.,A standard bursary applied to international fees to make private education more accessible.,www.icd.ie
S_IRL003_01,IRL003,ICD International Student Bursary,PG,All Non-EU students,Tuition Reduction,1000.00-2000.00,EUR,2026-08-31,Full payment of remaining fees; valid offer for ICD Dublin.,A standard bursary applied to international fees to make private education more accessible.,www.icd.ie
S_GOV_IRL_01,UNIV_GLOBAL,Government of Ireland (GOI-IES) Scholarship,PG,Non-EU/EEA/UK/Swiss nationals,Full Waiver + Stipend,10000,EUR,2026-03-12,Conditional/Final offer from eligible HEI; outstanding academic record.,"State-funded award for elite students; covers 100% fees plus a €10,000 living stipend.",hea.ie
S_IRL004_01,IRL004,ACD Institutional Grant,UG,All admitted students,Tuition Reduction,1000.00-3000.00,EUR,2026-07-31,Admission to ACD; maintaining a 3.0 GPA for renewal.,A grant provided to assist international and domestic students with the cost of tuition for liberal arts programs.,acd.iamu.edu
S_IRL004_01,IRL004,ACD Institutional Grant,PG,All admitted students,Tuition Reduction,1000.00-3000.00,EUR,2026-07-31,Admission to ACD; maintaining a 3.0 GPA for renewal.,A grant provided to assist international and domestic students with the cost of tuition for liberal arts programs.,acd.iamu.edu
S_IRL004_02,IRL004,Victory Scholarship,PG,Student-athletes (International),Full Waiver,100%,EUR,2026-03-01,Elite athletic background; admission to a master's program; interview.,"In partnership with Sport Changes Life, providing full tuition for athletes to play and study in Ireland.",acd.iamu.edu
